এইতো আমি রাস্তায়!	দুঃখিত।
আমি এক্ষুনি এটা ঠিক করিয়ে দিচ্ছি।	একটু দাঁড়ান এখানে।
কফি উপভোগ করুন।	ধন্যবাদ।
এই।	কী? একবার তাকিয়েছি শুধু।
দুই বছর প্রেম করার পর,এখন আর আমাকে তোমার ভালো লাগে না, তাই না?	আরে না।
তোমার কুকুর পুরনো হয়ে যাওয়ার পর তুমি তাকেও ভাগিয়ে দিয়েছ।	কুকুর আর মানুষ তো এক হতে পারে না।
এটা কী?	এটা কে?
এটাকেও ভালো লেগেছে?	ওকে তো উন্মাদের মতো দেখাচ্ছে।
ও কি এভাবেই হাসে?	ভয়ংকর।
আপনি কী খাবেন?	 তোমার চাল চলন এমন কেন?
মাফ করবেন?	কাস্টমারের সাথে কীভাবে আচরণ করতে জানো না?
আমি দুঃখিত।	আমার জন্যেও কফি নিয়ে আসো।
কী? তোমার পছন্দের একজনের সাথে এমন ব্যবহার করায় খারাপ লাগছে বুঝি?
হ্যালো?	জ্বি?
ঠিক আছে, সমস্যা হলে আমি আপনাকে কল দিবো।	অবশ্যই।
দেখেছ তুমি?	আমার লাইসেন্স প্লেট বাঁকা হয়ে গিয়েছে।
তুমি ওর কার্ড নিলে কেন?	পরে কোনো সমস্যা হতে পারে সেই জন্য।
কিন্তু তোমারটা দিতে গেলে কেন?	দরকার হতে পারে তাই।
দরকার হতে পারে তাই?	তুমি ওর জন্য দরজা খুলে দিলে কেন?
ওর কি হাত নেই?	তুমি কি এখানের কর্মচারী?
তোমার হিংসে হচ্ছে?	ওর কার্ডটা আমাকে দাও।
কী করছ?	বলেছ তোমার গাড়ি ঠিক আছে!
তাহলে আর কার্ড দরকার হবে কেন?	তুমি কি একটু বাড়াবাড়ি করছ না?
কী? কী বাড়াবাড়ি করছি?	মেয়েগুলো তোমার সাথে হেসে হেসে কথা বলছিল আর তুমিও গাধার মতো সায় দিচ্ছিলে।
আর ওদের গাড়ি পার্ক করে দিলে কেন?	তোমরা কি বন্ধু?
বাড়াবাড়িটা কি তুমি করছ না?	তোমার বলা উচিৎ ছিলো না যে,
"বীমা কোম্পানি এটা দ্রুত ঠিক করে দিবে"।	তুমি এত সহজে দিলে কেন?
তুমি কিন্তু বাড়াবাড়ি করছ।	এখানে কিছুই হয়নি।
কী?	কিছুই হয়নি?
সেহ-হি!	ওর কাছে ক্ষমা চাইলেই হতো।
তোমার কার্ড দিলে কেন?	সেটা বলার তুমি কে?
আমার বয়ফ্রেন্ডকে কার্ড দেয়ার তুমি কে?	কী ভেবেছ, তোমার মতো একটা বেশ্যাকে ও ফোন করবে?
এই।	আমি দুঃখিত।
কীসের দুঃখিত?	ওরা তো বেশ্যাই।
এই পাগল মাগী!	পাগল মাগী?
হ্যাঁ, আমি পাগল!	তো কী হয়েছে?
বেশ্যা কোথাকার!	হে-সুন, বস।
আমি দুঃখিত।		থামো।
এটা পাগলামি হচ্ছে।	পাগলামি?
আমাকে নিয়ে লজ্জা পাচ্ছো তুমি?	আপনাকে নিশ্চয়ই অনেক বেশি ভালোবাসে।
আমার তো হিংসে হচ্ছে।	আমি দুঃখিত।
এদিকে দেখো।	আমি পাগল,
তাই না?	কোনো মেয়ে যখন তোমার দিকে তাকায়,
ওর চোখগুলো উপড়ে ফেলতে ইচ্ছে করে।	দুঃখিত, সবসময় আমার এই
